text,label
"Thank you for your interest in IBM India. We are reviewing your application for Data Analyst role. Selected candidates will be contacted for interview.",0
"Capgemini recruitment: You have been invited for Group Discussion on 19th August. Venue: Capgemini Office, Pune. Time: 2:00 PM.",0
"Your application for Cognizant Technology Solutions is under review. Please ensure your profile is complete. We will update you on next steps.",0
"Tech Mahindra hiring: Online assessment completed successfully. Next round: Technical Interview scheduled for 21st August.",0
"Deloitte application received for Consulting role. Our team will review your profile and shortlist suitable candidates for interview process.",0
"Thank you for applying to Oracle India. Your application for Database Administrator position is being processed. We will contact you soon.",0
"SAP recruitment drive: You have been shortlisted for Technical Interview. Round details sent to your registered email address.",0
"Your application for Adobe Software Engineer role has been received. Our hiring team will review and contact you if selected.",0
"Cisco Systems: Application received for Network Engineer position. Please complete the technical assessment by 30th August.",0
"Intel recruitment: Profile matched for Hardware Engineer role. Interview process details will be shared via email.",0
"Thank you for applying to NVIDIA India. Your application for GPU Computing Specialist is under review.",0
"Qualcomm hiring: You have been shortlisted for Technical Interview. Interview schedule: 23rd August at 11:00 AM.",0
"Your application for AMD Software Developer position is being processed. We will update you on further steps.",0
"Broadcom recruitment: Online test completed successfully. Next round: HR Interview on 24th August.",0
"Texas Instruments: Application received for Embedded Systems Engineer. Shortlisted candidates will be notified.",0
"Analog Devices hiring: Profile shortlisted for Technical Interview. Interview details sent to your email.",0
"Thank you for applying to Linear Technology. Your application for Circuit Design role is under review.",0
"Maxim Integrated recruitment: You have been invited for Technical Discussion on 26th August.",0
"Your application for Microchip Technology is being processed. We will contact you for interview if selected.",0
"ON Semiconductor hiring: Online assessment completed. Next round: Technical Interview scheduled.",0
"NXP Semiconductors: Application received for Embedded Software Engineer. Review in progress.",0
"Infineon Technologies: Profile shortlisted for interview. Interview schedule will be shared soon.",0
"Thank you for applying to STMicroelectronics. Your application for IoT Engineer role is under review.",0
"Renesas recruitment: You have been invited for Technical Interview on 28th August.",0
"Your application for Cypress Semiconductor is being processed. We will update you shortly.",0
"Monolithic Power Systems hiring: Profile matched for Power Electronics Engineer role.",0
"Vishay Intertechnology: Application received for Component Engineer. Review in progress.",0
"Thank you for applying to KEMET. Your application for Capacitor Design role is under review.",0
"AVX recruitment: You have been shortlisted for Technical Interview. Details sent via email.",0
"Your application for TDK Electronics is being processed. We will contact you soon.",0
"Murata Manufacturing hiring: Profile shortlisted for Component Engineer role.",0
"Yageo Corporation: Application received for Resistor Design position. Review in progress.",0
"Thank you for applying to Panasonic India. Your application for Battery Engineer role is under review.",0
"Samsung SDI recruitment: You have been invited for Technical Interview on 29th August.",0
"Your application for LG Chem is being processed. We will update you on next steps.",0
"CATL hiring: Profile matched for Battery Design Engineer role. Interview details to follow.",0
"BYD Company: Application received for EV Battery Engineer. Shortlisted candidates will be notified.",0
"Thank you for applying to Tesla India. Your application for Energy Storage Engineer is under review.",0
