text,label,source,category,language,date
Google internship program for Software Engineer - Apply with portfolio,0,synthetic,government,English,2026-05-31
"Easy money: Graphic Designer task-based work, earn ₹50,000/day, invest ₹5000",1,synthetic,IT,English,2026-05-31
"Immediate hiring for Data Entry Operator - ₹80,000/month, send 500 for training",1,synthetic,non-IT,English,2026-05-31
"Part-time Virtual Assistant from home - ₹60,000/month guaranteed, deposit ₹2500",1,synthetic,non-IT,English,2026-05-31
Formal job interview scheduled at office for tomorrow 10 AM,0,existing,unknown,English,2024-01-01
"Oracle career opportunity: QA Engineer position, apply on company website",0,synthetic,established,English,2026-05-31
"Work from home Content Writer - Earn ₹60,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
Accenture is hiring Cybersecurity Analyst - Apply via careers.techmahindra.com,0,synthetic,government,English,2026-05-31
Job opening: QA Engineer at TCS - Send resume to hr@techmahindra.com,0,synthetic,established,English,2026-05-31
Official job posting: DevOps Engineer at Infosys through LinkedIn,0,synthetic,established,English,2026-05-31
Data Scientist vacancy at IBM - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Limited time offer: Web Developer position, ₹80,000/month, apply now via yahoo.com",1,synthetic,freelance,English,2026-05-31
"Google/Microsoft hiring Back Office Executive - ₹50,000/month, pay verification fee ₹500",1,synthetic,IT,English,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹1,50,000/month, pay subscription ₹3000",1,synthetic,freelance,English,2026-05-31
Job opening: Full Stack Developer at Google - Send resume to hr@tcs.com,0,synthetic,government,English,2026-05-31
"Unverified job posting: ₹150,000/month for zero experience",1,existing,unknown,English,2024-01-01
Official job posting: DevOps Engineer at Capgemini through LinkedIn,0,synthetic,government,English,2026-05-31
Campus placement: Google hiring DevOps Engineer for 2024 batch,0,synthetic,IT,English,2026-05-31
Google internship program for Cybersecurity Analyst - Apply with portfolio,0,synthetic,IT,English,2026-05-31
Deloitte internship program for Full Stack Developer - Apply with portfolio,0,synthetic,established,English,2026-05-31
Software Engineer vacancy at Tech Mahindra - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
Adobe recruitment drive for Cybersecurity Analyst - Visit official job portal,0,synthetic,government,English,2026-05-31
Data Scientist vacancy at Microsoft - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Online Tutor - ₹1,50,000/month, pay verification fee ₹1000",1,synthetic,IT,English,2026-05-31
"तुरंत भर्ती डेटा एंट्री ऑपरेटर के लिए - ₹40,000/महीना, ट्रेनिंग के लिए ₹2000 भेजो",1,synthetic,mixed,Hindi,2026-05-31
"Google/Microsoft hiring Customer Support - ₹50,000/month, pay verification fee ₹5000",1,synthetic,non-IT,English,2026-05-31
"WhatsApp job offer: Online Tutor for ₹80,000/month, send ₹1000 to confirm",1,synthetic,freelance,English,2026-05-31
"Part-time Online Tutor from home - ₹1,00,000/month guaranteed, deposit ₹500",1,synthetic,IT,English,2026-05-31
सरकारी नौकरी: डेटा एंट्री ऑपरेटर भर्ती आधिकारिक पोर्टल के माध्यम से,0,synthetic,mixed,Hindi,2026-05-31
"WhatsApp job offer: Customer Support for ₹60,000/month, send ₹999 to confirm",1,synthetic,non-IT,English,2026-05-31
"URGENT! Pay ₹2500 registration fee to get ₹50,000/month job as Digital Marketing",1,synthetic,non-IT,English,2026-05-31
Government job: DevOps Engineer recruitment via official UPSC portal,0,synthetic,government,English,2026-05-31
"Limited time offer: Online Tutor position, ₹60,000/month, apply now via yahoo.com",1,synthetic,IT,English,2026-05-31
"Limited time offer: Web Developer position, ₹40,000/month, apply now via yahoo.com",1,synthetic,IT,English,2026-05-31
Oracle internship program for QA Engineer - Apply with portfolio,0,synthetic,IT,English,2026-05-31
Official job posting: Cloud Architect at TCS through LinkedIn,0,synthetic,established,English,2026-05-31
"Urgent hiring! ₹90,000 monthly for beginners, apply via Gmail account",1,existing,unknown,English,2024-01-01
Software Engineer position at Capgemini - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
"WhatsApp job offer: Digital Marketing for ₹60,000/month, send ₹999 to confirm",1,synthetic,non-IT,English,2026-05-31
Official job posting: Data Scientist at Adobe through LinkedIn,0,synthetic,IT,English,2026-05-31
Job opening: Cybersecurity Analyst at Capgemini - Send resume to hr@google.com,0,synthetic,government,English,2026-05-31
Amazon internship program for Data Scientist - Apply with portfolio,0,synthetic,established,English,2026-05-31
"WhatsApp job offer: Online Tutor for ₹1,00,000/month, send ₹2000 to confirm",1,synthetic,freelance,English,2026-05-31
"Part-time Digital Marketing from home - ₹80,000/month guaranteed, deposit ₹2000",1,synthetic,freelance,English,2026-05-31
"Google/Microsoft hiring Social Media Manager - ₹60,000/month, pay verification fee ₹2000",1,synthetic,freelance,English,2026-05-31
"Immediate hiring for Data Entry Operator - ₹1,00,000/month, send 2000 for training",1,synthetic,non-IT,English,2026-05-31
"Data entry job Telecaller - ₹80,000/month, pay registration ₹5000",1,synthetic,freelance,English,2026-05-31
"Fortune 500 company: Telecaller fresher role ₹40,000/month, pay subscription ₹500",1,synthetic,non-IT,English,2026-05-31
"Company hiring: Software Engineer role, contact HR@company.com",0,existing,unknown,English,2024-01-01
"IBM career opportunity: Cloud Architect position, apply on company website",0,synthetic,IT,English,2026-05-31
Freelance project posting on Upwork by verified client,0,existing,unknown,English,2024-01-01
Job opening: Software Engineer at Accenture - Send resume to hr@microsoft.com,0,synthetic,government,English,2026-05-31
"Immediate hiring for Graphic Designer - ₹60,000/month, send 5000 for training",1,synthetic,freelance,English,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹50,000/month, pay subscription ₹500",1,synthetic,freelance,English,2026-05-31
"Easy money: Customer Support task-based work, earn ₹80,000/day, invest ₹999",1,synthetic,freelance,English,2026-05-31
"Google/Microsoft hiring Customer Support - ₹1,00,000/month, pay verification fee ₹2500",1,synthetic,freelance,English,2026-05-31
"Easy money: Customer Support task-based work, earn ₹60,000/day, invest ₹500",1,synthetic,IT,English,2026-05-31
Wipro सॉफ्टवेयर इंजीनियर के लिए भर्ती कर रहा है - careers.wipro.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
"Work from home, easy money, passive income scheme",1,existing,unknown,English,2024-01-01
Amazon internship program for UX Designer - Apply with portfolio,0,synthetic,established,English,2026-05-31
Official job posting: Full Stack Developer at Tech Mahindra through LinkedIn,0,synthetic,IT,English,2026-05-31
"Deloitte career opportunity: Data Scientist position, apply on company website",0,synthetic,government,English,2026-05-31
QA Engineer vacancy at Adobe - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Data entry job Software Engineer - ₹40,000/month, pay registration ₹1000",1,synthetic,freelance,English,2026-05-31
TCS सॉफ्टवेयर इंजीनियर के लिए भर्ती कर रहा है - careers.wipro.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
"Easy money: Data Entry Operator task-based work, earn ₹1,00,000/day, invest ₹5000",1,synthetic,non-IT,English,2026-05-31
"WhatsApp job offer: Digital Marketing for ₹1,00,000/month, send ₹5000 to confirm",1,synthetic,IT,English,2026-05-31
"URGENT! Pay ₹500 registration fee to get ₹60,000/month job as Graphic Designer",1,synthetic,IT,English,2026-05-31
Campus placement: Cognizant hiring Software Engineer for 2024 batch,0,synthetic,IT,English,2026-05-31
Deloitte internship program for QA Engineer - Apply with portfolio,0,synthetic,government,English,2026-05-31
"Part-time Online Tutor from home - ₹80,000/month guaranteed, deposit ₹5000",1,synthetic,freelance,English,2026-05-31
"Google/Microsoft hiring Social Media Manager - ₹80,000/month, pay verification fee ₹1500",1,synthetic,non-IT,English,2026-05-31
"Data entry job Virtual Assistant - ₹80,000/month, pay registration ₹999",1,synthetic,freelance,English,2026-05-31
"Contact recruiter@gmail.com for job offer, payment required",1,existing,unknown,English,2024-01-01
Cognizant careers page: Software development roles available,0,existing,unknown,English,2024-01-01
"URGENT! Pay ₹1000 registration fee to get ₹1,00,000/month job as Web Developer",1,synthetic,IT,English,2026-05-31
Tech Mahindra recruitment drive for DevOps Engineer - Visit official job portal,0,synthetic,government,English,2026-05-31
"तुरंत भर्ती डेटा एंट्री ऑपरेटर के लिए - ₹60,000/महीना, ट्रेनिंग के लिए ₹1000 भेजो",1,synthetic,mixed,Hindi,2026-05-31
Official job posting: Business Analyst at Deloitte through LinkedIn,0,synthetic,government,English,2026-05-31
"Data entry job Back Office Executive - ₹1,00,000/month, pay registration ₹1000",1,synthetic,IT,English,2026-05-31
Infosys internship program for Software Engineer - Apply with portfolio,0,synthetic,government,English,2026-05-31
Official job posting: Software Engineer at HCL through LinkedIn,0,synthetic,government,English,2026-05-31
"Adobe career opportunity: Full Stack Developer position, apply on company website",0,synthetic,IT,English,2026-05-31
Product Manager vacancy at Google - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Customer Support - ₹1,50,000/month, pay verification fee ₹5000",1,synthetic,non-IT,English,2026-05-31
"Immediate hiring for Data Entry Operator - ₹40,000/month, send 2500 for training",1,synthetic,non-IT,English,2026-05-31
Google recruitment drive for UX Designer - Visit official job portal,0,synthetic,established,English,2026-05-31
Accenture is recruiting across multiple locations in India,0,existing,unknown,English,2024-01-01
IBM internship program for Full Stack Developer - Apply with portfolio,0,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Web Developer - ₹40,000/month, pay verification fee ₹1500",1,synthetic,non-IT,English,2026-05-31
Accenture is hiring Business Analyst - Apply via careers.wipro.com,0,synthetic,IT,English,2026-05-31
Project-based work through verified platforms,0,existing,unknown,English,2024-01-01
"Fortune 500 company: Social Media Manager fresher role ₹50,000/month, pay subscription ₹5000",1,synthetic,freelance,English,2026-05-31
Job opening: Cloud Architect at Capgemini - Send resume to hr@google.com,0,synthetic,established,English,2026-05-31
"Immediate hiring for Graphic Designer - ₹1,00,000/month, send 3000 for training",1,synthetic,non-IT,English,2026-05-31
"सीमित समय ऑफर: सॉफ्टवेयर इंजीनियर पद, ₹60,000/महीना, अभी आवेदन करो",1,synthetic,mixed,Hindi,2026-05-31
"Limited time offer: Telecaller position, ₹40,000/month, apply now via gmail.com",1,synthetic,IT,English,2026-05-31
"Hired immediately for ₹80,000/month if you send application fee now",1,existing,unknown,English,2024-01-01
"URGENT! Pay ₹500 registration fee to get ₹50,000/month job as Graphic Designer",1,synthetic,IT,English,2026-05-31
"सीमित समय ऑफर: डेटा एंट्री ऑपरेटर पद, ₹40,000/महीना, अभी आवेदन करो",1,synthetic,mixed,Hindi,2026-05-31
Cloud Architect position at Wipro - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"Fortune 500 company: ₹100,000/month fresher role, pay subscription",1,existing,unknown,English,2024-01-01
"Work from home Back Office Executive - Earn ₹1,00,000/month, no experience needed",1,synthetic,IT,English,2026-05-31
"Part-time Customer Support from home - ₹1,00,000/month guaranteed, deposit ₹500",1,synthetic,freelance,English,2026-05-31
Software Engineer vacancy at Infosys - Interview scheduled at office,0,synthetic,government,English,2026-05-31
Campus placement: Tech Mahindra hiring Data Scientist for 2024 batch,0,synthetic,established,English,2026-05-31
"Part-time Digital Marketing from home - ₹50,000/month guaranteed, deposit ₹500",1,synthetic,non-IT,English,2026-05-31
College placement drive by reputed IT company,0,existing,unknown,English,2024-01-01
Wipro सॉफ्टवेयर इंजीनियर के लिए भर्ती कर रहा है - careers.infosys.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
Official job posting: Cloud Architect at IBM through LinkedIn,0,synthetic,IT,English,2026-05-31
"Immediate hiring without interview, just pay registration",1,existing,unknown,English,2024-01-01
"Limited time offer: Social Media Manager position, ₹50,000/month, apply now via protonmail.com",1,synthetic,IT,English,2026-05-31
Cloud Architect position at Adobe - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
"Data entry job Content Writer - ₹1,00,000/month, pay registration ₹3000",1,synthetic,IT,English,2026-05-31
"Fortune 500 company: Virtual Assistant fresher role ₹40,000/month, pay subscription ₹500",1,synthetic,non-IT,English,2026-05-31
"Work from home Social Media Manager - Earn ₹1,50,000/month, no experience needed",1,synthetic,IT,English,2026-05-31
"Easy money: Online Tutor task-based work, earn ₹1,00,000/day, invest ₹500",1,synthetic,non-IT,English,2026-05-31
"Part-time Telecaller from home - ₹50,000/month guaranteed, deposit ₹1000",1,synthetic,IT,English,2026-05-31
"Easy money: Back Office Executive task-based work, earn ₹1,50,000/day, invest ₹3000",1,synthetic,IT,English,2026-05-31
"तुरंत भर्ती कस्टमर सपोर्ट के लिए - ₹40,000/महीना, ट्रेनिंग के लिए ₹2000 भेजो",1,synthetic,mixed,Hindi,2026-05-31
DevOps Engineer position at Capgemini - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
"Google career opportunity: Cybersecurity Analyst position, apply on company website",0,synthetic,IT,English,2026-05-31
Wipro में सॉफ्टवेयर इंजीनियर पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
"Part-time Social Media Manager from home - ₹1,00,000/month guaranteed, deposit ₹5000",1,synthetic,non-IT,English,2026-05-31
"Immediate hiring for Customer Support - ₹40,000/month, send 2500 for training",1,synthetic,freelance,English,2026-05-31
"WhatsApp job offer: Back Office Executive for ₹40,000/month, send ₹1000 to confirm",1,synthetic,freelance,English,2026-05-31
"Limited time offer: Back Office Executive position, ₹60,000/month, apply now via outlook.com",1,synthetic,IT,English,2026-05-31
"Google/Microsoft hiring Web Developer - ₹40,000/month, pay verification fee ₹500",1,synthetic,freelance,English,2026-05-31
Data Scientist vacancy at Deloitte - Interview scheduled at office,0,synthetic,government,English,2026-05-31
Data Scientist vacancy at Cognizant - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Work at home scheme: Simple task ₹3,000 per task guaranteed",1,existing,unknown,English,2024-01-01
"WhatsApp job offer: Telecaller for ₹1,00,000/month, send ₹3000 to confirm",1,synthetic,non-IT,English,2026-05-31
Campus placement: Capgemini hiring Cloud Architect for 2024 batch,0,synthetic,established,English,2026-05-31
"Fortune 500 company: Customer Support fresher role ₹1,50,000/month, pay subscription ₹500",1,synthetic,freelance,English,2026-05-31
"Data entry job Digital Marketing - ₹40,000/month, pay registration ₹5000",1,synthetic,IT,English,2026-05-31
"जल्दी करो! ₹1000 रजिस्ट्रेशन फी दो और ₹40,000/महीने की नौकरी पाओ",1,synthetic,mixed,Hindi,2026-05-31
Job opening: Full Stack Developer at HCL - Send resume to hr@google.com,0,synthetic,established,English,2026-05-31
"Google/Microsoft hiring Software Engineer - ₹40,000/month, pay verification fee ₹5000",1,synthetic,IT,English,2026-05-31
Accenture recruitment drive for Business Analyst - Visit official job portal,0,synthetic,government,English,2026-05-31
Job opening: Software Engineer at Microsoft - Send resume to hr@hcl.com,0,synthetic,established,English,2026-05-31
Official job posting: Full Stack Developer at HCL through LinkedIn,0,synthetic,government,English,2026-05-31
Data Scientist vacancy at Tech Mahindra - Interview scheduled at office,0,synthetic,established,English,2026-05-31
"Google/Microsoft hiring Data Entry Operator - ₹40,000/month, pay verification fee ₹999",1,synthetic,IT,English,2026-05-31
"Work from home Virtual Assistant - Earn ₹1,00,000/month, no experience needed",1,synthetic,IT,English,2026-05-31
Software Engineer vacancy at Accenture - Interview scheduled at office,0,synthetic,established,English,2026-05-31
Contract work opportunity from established agency,0,existing,unknown,English,2024-01-01
"Urgent job offer! Earn ₹80,000 per month as fresher with no experience required",1,existing,unknown,English,2024-01-01
"जल्दी करो! ₹500 रजिस्ट्रेशन फी दो और ₹50,000/महीने की नौकरी पाओ",1,synthetic,mixed,Hindi,2026-05-31
"जल्दी करो! ₹1000 रजिस्ट्रेशन फी दो और ₹60,000/महीने की नौकरी पाओ",1,synthetic,mixed,Hindi,2026-05-31
Campus placement: HCL hiring Product Manager for 2024 batch,0,synthetic,government,English,2026-05-31
Official job posting: UX Designer at Deloitte through LinkedIn,0,synthetic,IT,English,2026-05-31
Machine Learning Engineer vacancy at Microsoft - Interview scheduled at office,0,synthetic,government,English,2026-05-31
Wipro में डेटा एंट्री ऑपरेटर पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
Campus placement: Deloitte hiring Software Engineer for 2024 batch,0,synthetic,government,English,2026-05-31
Job opening: Data Scientist at Adobe - Send resume to hr@techmahindra.com,0,synthetic,established,English,2026-05-31
Teaching position at university sent via official email,0,existing,unknown,English,2024-01-01
"Fortune 500 company: Back Office Executive fresher role ₹40,000/month, pay subscription ₹2500",1,synthetic,freelance,English,2026-05-31
"Limited time offer: Software Engineer position, ₹40,000/month, apply now via outlook.com",1,synthetic,non-IT,English,2026-05-31
"Work from home Graphic Designer - Earn ₹60,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Campus placement: Accenture hiring Cloud Architect for 2024 batch,0,synthetic,government,English,2026-05-31
Google job offer via random email with payment demand,1,existing,unknown,English,2024-01-01
"जल्दी करो! ₹1000 रजिस्ट्रेशन फी दो और ₹50,000/महीने की नौकरी पाओ",1,synthetic,mixed,Hindi,2026-05-31
"URGENT! Pay ₹2500 registration fee to get ₹1,50,000/month job as Data Entry Operator",1,synthetic,freelance,English,2026-05-31
"Part-time Virtual Assistant from home - ₹60,000/month guaranteed, deposit ₹1000",1,synthetic,non-IT,English,2026-05-31
"Data entry job Virtual Assistant - ₹1,50,000/month, pay registration ₹1500",1,synthetic,IT,English,2026-05-31
"Data entry job Customer Support - ₹1,50,000/month, pay registration ₹999",1,synthetic,non-IT,English,2026-05-31
Oracle internship program for Software Engineer - Apply with portfolio,0,synthetic,established,English,2026-05-31
Business Analyst vacancy at Microsoft - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Part-time Graphic Designer from home - ₹50,000/month guaranteed, deposit ₹500",1,synthetic,freelance,English,2026-05-31
Job opening: Product Manager at Oracle - Send resume to hr@tcs.com,0,synthetic,established,English,2026-05-31
"तुरंत भर्ती डेटा एंट्री ऑपरेटर के लिए - ₹40,000/महीना, ट्रेनिंग के लिए ₹500 भेजो",1,synthetic,mixed,Hindi,2026-05-31
Infosys recruitment drive for recent graduates in IT,0,existing,unknown,English,2024-01-01
Product Manager vacancy at Deloitte - Interview scheduled at office,0,synthetic,government,English,2026-05-31
"Guaranteed income: ₹50,000 monthly from mobile app task",1,existing,unknown,English,2024-01-01
Government job: UX Designer recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
"Part-time Customer Support from home - ₹50,000/month guaranteed, deposit ₹2000",1,synthetic,freelance,English,2026-05-31
Infosys में सॉफ्टवेयर इंजीनियर पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
Full Stack Developer position at Amazon - 3-5 years experience required,0,synthetic,government,English,2026-05-31
Microsoft recruitment drive for Software Engineer - Visit official job portal,0,synthetic,government,English,2026-05-31
Software Engineer vacancy at Adobe - Interview scheduled at office,0,synthetic,government,English,2026-05-31
"Work from home Telecaller - Earn ₹80,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
"URGENT! Pay ₹2000 registration fee to get ₹1,00,000/month job as Graphic Designer",1,synthetic,freelance,English,2026-05-31
Data Scientist vacancy at Oracle - Interview scheduled at office,0,synthetic,IT,English,2026-05-31
"Easy money: Web Developer task-based work, earn ₹80,000/day, invest ₹3000",1,synthetic,non-IT,English,2026-05-31
"WhatsApp job offer: Software Engineer for ₹1,50,000/month, send ₹3000 to confirm",1,synthetic,non-IT,English,2026-05-31
Bank recruitment exam notification on official website,0,existing,unknown,English,2024-01-01
"Google/Microsoft hiring Online Tutor - ₹60,000/month, pay verification fee ₹999",1,synthetic,non-IT,English,2026-05-31
Official job posting: Data Scientist at IBM through LinkedIn,0,synthetic,government,English,2026-05-31
"Data entry job Software Engineer - ₹80,000/month, pay registration ₹2000",1,synthetic,freelance,English,2026-05-31
Official job posting: Business Analyst at Adobe through LinkedIn,0,synthetic,IT,English,2026-05-31
Job opening: UX Designer at Accenture - Send resume to hr@microsoft.com,0,synthetic,government,English,2026-05-31
"Work from home Customer Support - Earn ₹80,000/month, no experience needed",1,synthetic,non-IT,English,2026-05-31
Wipro कस्टमर सपोर्ट के लिए भर्ती कर रहा है - careers.wipro.com पर आवेदन करें,0,synthetic,mixed,Hindi,2026-05-31
"Fresher job: ₹1,00,000 monthly salary, transfers funds daily",1,existing,unknown,English,2024-01-01
"Immediate hiring for Web Developer - ₹40,000/month, send 1500 for training",1,synthetic,freelance,English,2026-05-31
"Immediate hiring for Content Writer - ₹40,000/month, send 1500 for training",1,synthetic,non-IT,English,2026-05-31
"WhatsApp job offer: Simple work, ₹50,000/month, deposit needed",1,existing,unknown,English,2024-01-01
"Immediate hiring for Software Engineer - ₹60,000/month, send 5000 for training",1,synthetic,non-IT,English,2026-05-31
"Wipro career opportunity: DevOps Engineer position, apply on company website",0,synthetic,government,English,2026-05-31
"Limited time offer: Web Developer position, ₹50,000/month, apply now via gmail.com",1,synthetic,IT,English,2026-05-31
Campus placement: Infosys hiring Machine Learning Engineer for 2024 batch,0,synthetic,established,English,2026-05-31
Infosys recruitment drive for Business Analyst - Visit official job portal,0,synthetic,IT,English,2026-05-31
"Work from home Content Writer - Earn ₹40,000/month, no experience needed",1,synthetic,freelance,English,2026-05-31
Software Engineer position at Microsoft - 3-5 years experience required,0,synthetic,IT,English,2026-05-31
"Part-time Back Office Executive from home - ₹1,50,000/month guaranteed, deposit ₹2000",1,synthetic,non-IT,English,2026-05-31
"Fortune 500 company: Virtual Assistant fresher role ₹50,000/month, pay subscription ₹999",1,synthetic,freelance,English,2026-05-31
"SMS job alert: Earn fast, pay commission first",1,existing,unknown,English,2024-01-01
Oracle recruitment drive for Full Stack Developer - Visit official job portal,0,synthetic,established,English,2026-05-31
Microsoft recruitment drive for Cybersecurity Analyst - Visit official job portal,0,synthetic,established,English,2026-05-31
"Immediate hiring for Graphic Designer - ₹50,000/month, send 3000 for training",1,synthetic,IT,English,2026-05-31
"Limited time offer: Graphic Designer position, ₹60,000/month, apply now via gmail.com",1,synthetic,IT,English,2026-05-31
HR department email regarding job offer letter,0,existing,unknown,English,2024-01-01
"Part-time Virtual Assistant from home - ₹40,000/month guaranteed, deposit ₹2000",1,synthetic,freelance,English,2026-05-31
"Adobe career opportunity: Data Scientist position, apply on company website",0,synthetic,established,English,2026-05-31
Amazon job opening: Senior Developer at Bangalore office,0,existing,unknown,English,2024-01-01
Software Engineer position at Accenture - 3-5 years experience required,0,synthetic,established,English,2026-05-31
"Part-time Web Developer from home - ₹80,000/month guaranteed, deposit ₹500",1,synthetic,IT,English,2026-05-31
"Limited time offer: Digital Marketing position, ₹1,00,000/month, apply now via gmail.com",1,synthetic,IT,English,2026-05-31
LinkedIn connection from verified company recruiter,0,existing,unknown,English,2024-01-01
Official job posting: Product Manager at Amazon through LinkedIn,0,synthetic,established,English,2026-05-31
"Wipro career opportunity: Business Analyst position, apply on company website",0,synthetic,government,English,2026-05-31
"Data entry job Customer Support - ₹1,00,000/month, pay registration ₹2500",1,synthetic,freelance,English,2026-05-31
Amazon is hiring DevOps Engineer - Apply via careers.wipro.com,0,synthetic,IT,English,2026-05-31
Government job: Software Engineer recruitment via official UPSC portal,0,synthetic,IT,English,2026-05-31
"Easy money: Virtual Assistant task-based work, earn ₹60,000/day, invest ₹1000",1,synthetic,non-IT,English,2026-05-31
"Limited time offer: Back Office Executive position, ₹50,000/month, apply now via outlook.com",1,synthetic,freelance,English,2026-05-31
"URGENT! Pay ₹500 registration fee to get ₹40,000/month job as Customer Support",1,synthetic,IT,English,2026-05-31
सरकारी नौकरी: कस्टमर सपोर्ट भर्ती आधिकारिक पोर्टल के माध्यम से,0,synthetic,mixed,Hindi,2026-05-31
Full Stack Developer position at Capgemini - 3-5 years experience required,0,synthetic,government,English,2026-05-31
"Limited time offer: Software Engineer position, ₹1,00,000/month, apply now via outlook.com",1,synthetic,freelance,English,2026-05-31
"Immediate hiring for Virtual Assistant - ₹80,000/month, send 1500 for training",1,synthetic,freelance,English,2026-05-31
"Limited time offer: Content Writer position, ₹1,00,000/month, apply now via gmail.com",1,synthetic,IT,English,2026-05-31
TCS में कस्टमर सपोर्ट पद - 3-5 साल का अनुभव आवश्यक,0,synthetic,mixed,Hindi,2026-05-31
"URGENT! Pay ₹3000 registration fee to get ₹80,000/month job as Virtual Assistant",1,synthetic,IT,English,2026-05-31
